Screen_bg,ConsentKey.keys,ConsentKey.rt,Begin.keys,Begin.rt,checkresp.keys,checkresp.corr,checkresp.rt,Attention.thisRepN,Attention.thisTrialN,Attention.thisN,Attention.thisIndex,Attention.ran,AttnQuestion,AttnAnswer,participant,PROLIFIC_ID,Age,Gender,Handedness,Native Language,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,NextStep.keys,NextStep.rt,InstRep.thisRepN,InstRep.thisTrialN,InstRep.thisN,InstRep.thisIndex,InstRep.ran,PracProceed.keys,PracProceed.rt,DisResp.keys,DisResp.corr,TargetPosition,TargetResp_p.keys,TargetResp_p.corr,TargetResp_p.rt,Prac_loop.thisRepN,Prac_loop.thisTrialN,Prac_loop.thisN,Prac_loop.thisIndex,Prac_loop.ran,Block,SalD,NSalD,Salience,Condition,PosMatch,Target,CorrectAnswer,Validity,Exp_proceed.keys,Exp_proceed.rt,PracRepeat.thisRepN,PracRepeat.thisTrialN,PracRepeat.thisN,PracRepeat.thisIndex,PracRepeat.ran,TargetResp.keys,TargetResp.corr,TargetResp.rt,headstartLearn.thisRepN,headstartLearn.thisTrialN,headstartLearn.thisN,headstartLearn.thisIndex,headstartLearn.ran,brkContinue.keys,ExpTrials.thisRepN,ExpTrials.thisTrialN,ExpTrials.thisN,ExpTrials.thisIndex,ExpTrials.ran,PauseResp.keys,PauseResp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,CA_Proceed.keys,CA_Proceed.rt,Resp1_2.keys,CAResponse.keys,CAResponse.corr,CAResponse.rt,CA_trials.thisRepN,CA_trials.thisTrialN,CA_trials.thisN,CA_trials.thisIndex,CA_trials.ran,AwareResp.keys,AwareResp.corr,AwareResp.rt,AwareQ_loop.thisRepN,AwareQ_loop.thisTrialN,AwareQ_loop.thisN,AwareQ_loop.thisIndex,AwareQ_loop.ran,AwareQ,Solution,Performance,ContingencyChkScore,todebrief.keys,todebrief.rt,Finalend.keys,Finalend.rt
black,y,47.80247,space,59.05107,e,1,2.898205,0,0,0,0,1,"What key should you press if you see ""5""?",e,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,u,1,1.23483,0,1,1,1,1,"What key should you press if you see ""8""?",u,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,space,4.204355,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,space,1.691915,,0,"[0.15,0]","[""u""]",1,[1.5701099999714643],0,0,0,3,1,Practice,N,X,N,learn,Salient,8,u,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,0,"[0.11,-0.1]","[""e""]",1,[1.155864999978803],0,1,1,6,1,Practice,C,L,C,learn,NonSalient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,0,"[0,0.15]","[""u""]",1,[0.7764899999601766],0,2,2,12,1,Practice,C,L,C,learn,Salient,8,u,invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,0,"[-0.11,0.1]","[""e""]",1,[2.2305499999783933],0,3,3,4,1,Practice,C,L,C,learn,Salient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,0,"[0,-0.15]","[""e""]",1,[1.328845000010915],0,4,4,8,1,Practice,C,L,C,learn,NonSalient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,0,"[-0.11,-0.1]","[""u""]",1,[1.3576800000155345],0,5,5,7,1,Practice,N,X,N,learn,NonSalient,8,u,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,27,male,right,German,2021-01-12_13h13.14.825,Exp5_VS,2020.1.3,Win32,60,Chrome,1500,1000,,,,,,,,,,,0,"[-0.11,-0.1]","[""e""]",1,[0.9224150000372902],0,6,6,10,1,Practice,C,L,C,learn,NonSalient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
