Screen_bg,ConsentKey.keys,ConsentKey.rt,Begin.keys,Begin.rt,checkresp.keys,checkresp.corr,checkresp.rt,Attention.thisRepN,Attention.thisTrialN,Attention.thisN,Attention.thisIndex,Attention.ran,AttnQuestion,AttnAnswer,participant,PROLIFIC_ID,Age,Gender,Handedness,Native Language,date,expName,psychopyVersion,OS,frameRate,id,session,researcher,browser,xResolution,yResolution,NextStep.keys,NextStep.rt,InstRep.thisRepN,InstRep.thisTrialN,InstRep.thisN,InstRep.thisIndex,InstRep.ran,PracProceed.keys,PracProceed.rt,DisResp.keys,DisResp.corr,TargetPosition,TargetResp_p.keys,TargetResp_p.corr,TargetResp_p.rt,Prac_loop.thisRepN,Prac_loop.thisTrialN,Prac_loop.thisN,Prac_loop.thisIndex,Prac_loop.ran,Block,SalD,NSalD,Salience,Condition,PosMatch,Target,CorrectAnswer,Validity,Exp_proceed.keys,Exp_proceed.rt,PracRepeat.thisRepN,PracRepeat.thisTrialN,PracRepeat.thisN,PracRepeat.thisIndex,PracRepeat.ran,TargetResp.keys,TargetResp.corr,TargetResp.rt,headstartLearn.thisRepN,headstartLearn.thisTrialN,headstartLearn.thisN,headstartLearn.thisIndex,headstartLearn.ran,DisResp.rt,brkContinue.keys,ExpTrials.thisRepN,ExpTrials.thisTrialN,ExpTrials.thisN,ExpTrials.thisIndex,ExpTrials.ran,PauseResp.keys,PauseResp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,CA_Proceed.keys,CA_Proceed.rt,Resp1_2.keys,CAResponse.keys,CAResponse.corr,CAResponse.rt,CA_trials.thisRepN,CA_trials.thisTrialN,CA_trials.thisN,CA_trials.thisIndex,CA_trials.ran,AwareResp.keys,AwareResp.corr,AwareResp.rt,AwareQ_loop.thisRepN,AwareQ_loop.thisTrialN,AwareQ_loop.thisN,AwareQ_loop.thisIndex,AwareQ_loop.ran,AwareQ,Solution,Performance,ContingencyChkScore,todebrief.keys,todebrief.rt,Finalend.keys,Finalend.rt
black,j,11.823805,space,40.05969,e,1,2.17984,0,0,0,0,1,"What key should you press if you see ""5""?",e,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,u,1,1.46317,0,1,1,1,1,"What key should you press if you see ""8""?",u,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,space,6.983735,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,space,3.01511,,0,"[-0.11,-0.1]","[""e""]",1,[1.636325000000383],0,0,0,0,1,Practice,C,L,C,learn,Salient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[0.15,0]","[""u""]",1,[0.8040249999994558],0,1,1,5,1,Practice,N,X,N,learn,Salient,8,u,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[0.11,-0.1]","[""u"",""e""]",0,"[1.1804299999994186,2.5410350000001642]",0,2,2,6,1,Practice,C,L,C,learn,NonSalient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[0.11,-0.1]","[""u""]",1,[0.8644649999996687],0,3,3,1,1,Practice,N,X,N,learn,Salient,8,u,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[-0.11,0.1]","[""e""]",1,[1.4770499999995366],0,4,4,4,1,Practice,C,L,C,learn,Salient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[-0.11,0.1]","[""e""]",1,[0.5504100000007526],0,5,5,2,1,Practice,C,L,C,learn,Salient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[0,0.15]","[""e""]",1,[0.9607900000001024],0,6,6,8,1,Practice,C,L,C,learn,NonSalient,5,e,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[-0.11,0.1]","[""u""]",1,[0.6436849999999907],0,7,7,3,1,Practice,N,X,N,learn,Salient,8,u,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[-0.15,0]","[""u""]",1,[1.1034600000002968],0,8,8,14,1,Practice,C,L,C,learn,NonSalient,8,u,invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[-0.11,-0.1]","[""u""]",1,[1.5825400000003214],0,9,9,11,1,Practice,N,X,N,learn,NonSalient,8,u,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,5ee6a2dfecd9ec42e22e3cd1,19,male,right,English,2021-01-12_15h08.07.790,Exp5_VS,2020.1.3,Win32,60,,,,Chrome,1920,1080,,,,,,,,,,,0,"[-0.11,0.1]","[""e""]",1,[0.7443499999999261],0,10,10,15,1,Practice,N,X,N,learn,NonSalient,5,e,invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
